,search_term,cnt
1267,stihl,2711
1268,microphone,2710
1269,towing,2709
1270,bass boat,2708
1271,used nissan bakkie,2705
1272,polo 1.6,2702
1273,tablets,2699
1274,orlando,2698
1275,miniature,2695
1276,jazz,2693
1277,m5,2692
1278,nissan champ,2686
1279,jetta vr6,2683
1280,penta,2682
1281,building material,2681
1282,200sx,2681
1283,a45 amg,2681
1284,geely,2678
1285,saxophone,2675
1286,nissan qashqai,2673
1287,coffee machine,2672
1288,hyosung,2669
1289,450,2666
1290,toyota 20v,2666
1291,ballito,2665
1292,bmw m6,2661
1293,automatic cars,2659
1294,r12000,2658
1295,gsxr 1000,2657
1296,corsa canopy,2656
1297,towtruck,2655
1298,135i,2655
1299,sandero,2654
1300,bmw coupe,2654
1301,tzaneen,2653
1302,sapphire,2653
1303,hard drive,2651
1304,glenwood,2651
1305,aircraft,2649
1306,i phone,2649
1307,stanger,2646
1308,cabin,2646
1309,roof tiles,2646
1310,camp,2642
1311,samsung gear,2642
1312,cars to swop,2641
1313,stoves,2639
1314,braai,2637
1315,paint,2636
1316,scaffolding,2636
1317,opel utility,2635
1318,panel van,2633
1319,samsung galaxy s7 edge,2632
1320,samsung j1,2632
1321,trekkers,2631
1322,catering,2629
1323,gate motor,2629
1324,office furniture,2629
1325,explorer,2629
1326,dvd,2628
1327,h1 hyundai,2627
1328,wii,2626
1329,yorkshire terrier,2625
1330,rav4,2623
1331,capri,2623
1332,s5,2620
1333,mercedes benz c class,2617
1334,motor bike,2613
1335,mirrors,2610
1336,jeep grand cherokee,2610
1337,business for sale,2608
1338,for sale citi golf,2608
1339,a4,2605
1340,meat,2602
1341,smart,2601
1342,heifers,2592
1343,saw,2592
1344,nissan 350z,2591
1345,bunk bed,2587
1346,mobicel,2586
1347,gaming laptop,2584
1348,audi q5,2581
1349,daewoo,2577
1350,nissan 1400 bakkie,2577
1351,corsa gsi,2575
1352,cats,2574
1353,toyota 86,2573
1354,phantom,2572
1355,rugby,2569
1356,lg g4,2569
1357,air compressor,2569
1358,vaalpark,2560
1359,mercedes sprinters,2558
1360,vw polo playa,2556
1361,patio furniture,2553
1362,leather couch,2551
1363,chery,2551
1364,chev utility,2547
1365,crossbow,2547
1366,bmw 540i,2546
1367,kia k2700,2545
1368,note 4,2545
1369,meadowlands,2544
1370,hyundai atos,2544
1371,kzte,2543
1372,rent to own,2542
